"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"2010:Q1","Next40",18949775,24264658,7974935,1895262,1450968,7819796,1085762,4037934,5314883,4325782,861369,127733
"2010:Q1","Bottom50",387712,5302169,2863340,1097061,90888,512213,157270,581397,4914457,3414195,1375451,124811
"2010:Q2","Top1",16877356,17528424,2560045,501573,4631111,1358878,2937216,5539601,651068,412461,81663,156944
"2010:Q2","Next9",24178535,26653346,5877329,1058307,3968038,7432703,2331654,5985314,2474811,2175337,166704,132770
"2010:Q2","Next40",18928247,24121784,7942963,1898448,1352173,7795437,1177574,3955188,5193538,4205960,852226,135352
"2010:Q2","Bottom50",221771,5177405,2781614,1072479,79915,499180,171228,572990,4955634,3449316,1377860,128458
"2010:Q3","Top1",17854235,18498955,2482887,511562,5366582,1474219,3097622,5566084,644720,413055,80896,150769
"2010:Q3","Next9",24764263,27255788,5886651,1045767,4360014,7681162,2350485,5931710,2491524,2170207,175708,145610
"2010:Q3","Next40",19191433,24315540,7736662,1899745,1433602,8056503,1155388,4033640,5124107,4134085,853601,136421
"2010:Q3","Bottom50",349419,5312713,2906648,1063208,88549,516451,168643,569214,4963294,3447454,1393521,122320
"2010:Q4","Top1",18399079,19037404,2433435,548531,5906874,1525777,2879532,5743255,638324,409214,78864,150247
"2010:Q4","Next9",24622895,27122225,5852132,1019656,4658210,7922900,2168030,5501297,2499330,2129366,183245,186718
"2010:Q4","Next40",19504573,24742247,7601832,1895537,1540588,8310996,1042651,4350644,5237675,4156167,939638,141870
"2010:Q4","Bottom50",456250,5324463,2876841,1071717,97055,533454,150770,594626,4868213,3297229,1445064,125921
"2011:Q1","Top1",18861884,19487956,2485523,574122,6383023,1537394,2989137,5518756,626072,403899,73506,148668
"2011:Q1","Next9",25249579,27813678,5713249,1009135,4922893,8055643,2211258,5901501,2564099,2156662,189906,217532
"2011:Q1","Next40",19707076,24839624,7573682,1899902,1637872,8458658,1045386,4224124,5132548,4081142,908800,142606
"2011:Q1","Bottom50",279094,5155895,2675443,1085080,104473,544650,145717,600532,4876801,3295076,1456159,125567
"2011:Q2","Top1",19080056,19702559,2560648,591267,6323246,1514952,3018996,5693450,622503,400957,70979,150568
"2011:Q2","Next9",25394680,27935462,5667281,1010919,4918228,8126828,2257528,5954679,2540782,2140072,189590,211120
"2011:Q2","Next40",19863268,25047192,7598114,1907129,1662824,8533187,1065895,4280044,5183925,4134220,916413,133291
"2011:Q2","Bottom50",211262,5009254,2506990,1099735,103573,547832,144135,606990,4797992,3200442,1476155,121395
"2011:Q3","Top1",17866917,18506779,2484698,558061,5127743,1386370,2912445,6037462,639862,400716,78806,160340
"2011:Q3","Next9",25158182,27639087,5649030,1063854,4337096,8004484,2350683,6233942,2480905,2154707,171175,155024
"2011:Q3","Next40",19639478,24775794,7497796,1918258,1531432,8377952,1152825,4297531,5136316,4069346,947116,119854
"2011:Q3","Bottom50",267283,5099145,2620397,1090456,85102,528744,153160,621286,4831862,3198568,1505218,128077
"2011:Q4","Top1",18517837,19155060,2422505,591388,5497304,1405475,3065196,6173191,637223,399624,73276,164323
"2011:Q4","Next9",25226685,27691385,5653588,1042469,4554505,8190761,2391885,5858176,2464701,2139569,182556,142575
"2011:Q4","Next40",19979276,25180958,7343250,1916355,1615201,8551823,1134158,4620171,5201682,4118844,965229,117609
"2011:Q4","Bottom50",414997,5205371,2685855,1094486,90440,540680,145185,648725,4790374,3118128,1535331,136915
"2012:Q1","Top1",19376005,19994554,2447043,635931,6355964,1461339,3203359,5890920,618550,392261,63337,162951
"2012:Q1","Next9",26093830,28617189,5620832,1013200,5014036,8437703,2413428,6117989,2523359,2159378,197546,166435
"2012:Q1","Next40",20235640,25360544,7262800,1918392,1763038,8803971,1098312,4514031,5124904,4076685,931260,116960
"2012:Q1","Bottom50",377854,5157180,2599331,1111517,102962,559712,135431,648228,4779326,3088681,1553126,137519
"2012:Q2","Top1",19194216,19817480,2545566,630056,6071226,1403374,3208971,5958287,623264,391440,63125,168699
"2012:Q2","Next9",26291700,28788435,5621825,1034554,4896657,8454884,2490783,6289732,2496734,2160607,192656,143471
"2012:Q2","Next40",20344640,25455910,7423871,1921741,1757547,8805529,1136945,4410277,5111270,4052170,951772,107328
"2012:Q2","Bottom50",276037,5054461,2520633,1102743,98040,556480,136885,639680,4778424,3053978,1583127,141320
"2012:Q3","Top1",20059507,20682011,2566893,648804,6518942,1416057,3384015,6147300,622503,394077,61323,167103
"2012:Q3","Next9",26746501,29241448,5693291,1028741,5141490,8616817,2586193,6174917,2494947,2129482,200068,165397
"2012:Q3","Next40",20769277,25983569,7502599,1921887,1851056,8971477,1150719,4585831,5214292,4132349,973831,108112
"2012:Q3","Bottom50",427051,5145654,2590048,1101303,104308,567577,132775,649642,4718603,2958281,1615514,144807
"2012:Q4","Top1",20353788,20959022,2604360,654173,6544330,1395797,3431848,6328515,605234,386347,57310,161577
"2012:Q4","Next9",26963746,29534382,5744752,1041333,5171453,8691991,2675910,6208944,2570636,2179753,196545,194338
"2012:Q4","Next40",21201871,26308054,7577552,1927782,1888879,9061281,1184179,4668379,5106183,3989953,1005680,110550
"2012:Q4","Bottom50",386931,5198524,2619710,1104198,104010,572882,132670,665053,4811593,3006237,1653695,151661
"2013:Q1","Top1",21524946,22139522,2747652,692107,7510429,1452529,3591710,6145095,614576,396802,55304,162470
"2013:Q1","Next9",27962573,30429693,5841784,1017358,5653459,9019416,2725156,6172521,2467120,2055432,213821,197867
"2013:Q1","Next40",21586856,27018285,7830390,1927027,2049324,9374702,1157854,4678989,5431430,4346101,978358,106970
"2013:Q1","Bottom50",621629,5165810,2550912,1114462,118033,588906,123408,670089,4544182,2721243,1666656,156283
"2013:Q2","Top1",21637553,22246790,2842806,702330,7609363,1452580,3743333,5896379,609237,395017,50461,163759
"2013:Q2","Next9",28525505,30998107,5953988,1020013,5702016,9222215,2845953,6253922,2472602,2061123,217397,194082
"2013:Q2","Next40",21916970,27355294,8067175,1924768,2099826,9566989,1188338,4508198,5438323,4341927,995356,101040
"2013:Q2","Bottom50",645725,5199029,2591188,1108533,118960,595186,120722,664441,4553304,2688100,1697334,167870
"2013:Q3","Top1",22626954,23231070,2946451,717544,8096176,1505828,3935814,6029258,604116,393406,47975,162735
"2013:Q3","Next9",29002290,31519611,6045885,1017718,5923834,9507953,2969447,6054774,2517322,2092967,224072,200282
"2013:Q3","Next40",22792041,28207052,8337910,1924780,2199741,9881184,1206800,4656637,5415011,4296690,1023938,94383
"2013:Q3","Bottom50",660406,5279405,2638890,1108895,125659,613256,115548,677157,4619000,2713226,1734734,171040
"2013:Q4","Top1",23583183,24197429,3030434,742649,8651142,1620200,4217819,5935185,614247,404488,47272,162487
"2013:Q4","Next9",29472950,32002718,6157014,991636,6228238,9875031,2961529,5789271,2529768,2066988,240127,222653
"2013:Q4","Next40",23401030,28920348,8537003,1939608,2256509,10149033,1183263,4854933,5519319,4360590,1050285,108444
"2013:Q4","Bottom50",693548,5271730,2598429,1105680,132265,622509,112430,700417,4578182,2647678,1753241,177263
"2014:Q1","Top1",24242918,24873773,3102012,745597,9163842,1654845,4256629,5950848,630855,411102,51094,168659
"2014:Q1","Next9",30275232,32776143,6278387,990708,6503639,9990714,2923465,6089230,2500911,2055265,243303,202343
"2014:Q1","Next40",23608396,29147381,8681011,1953748,2311912,10207896,1184766,4808049,5538985,4389487,1041193,108306
"2014:Q1","Bottom50",713405,5237356,2563059,1094956,138363,623116,115215,702647,4523951,2588067,1761765,174119
"2014:Q2","Top1",25022129,25659043,3134703,759913,9751209,1702884,4394180,5916154,636914,417926,51814,167174
"2014:Q2","Next9",30777620,33340805,6432236,979711,6808129,10160154,2905588,6054988,2563186,2062705,251193,249287
"2014:Q2","Next40",23969662,29549810,8828364,1972452,2378662,10312491,1175991,4881849,5580147,4378205,1077585,124357
"2014:Q2","Bottom50",794067,5329409,2632429,1097287,145560,627431,115027,711675,4535342,2574854,1783950,176538
"2014:Q3","Top1",24973687,25626084,3198483,764945,9514697,1698450,4564064,5885444,652397,424312,58984,169101
"2014:Q3","Next9",31158346,33735276,6577914,981136,6707511,10219466,2953972,6295277,2576930,2067382,251580,257968
"2014:Q3","Next40",24011307,29667380,8994691,1993034,2342539,10304072,1212908,4820136,5656073,4404301,1122742,129030
"2014:Q3","Bottom50",808209,5340749,2645563,1100730,140424,622880,119515,711638,4532539,2548078,1810254,174207
"2014:Q4","Top1",25936195,26600892,3261752,783014,9894191,1725553,4804572,6131809,664697,431082,60556,173058
"2014:Q4","Next9",31526022,34084562,6687830,965876,6901738,10367351,2997786,6163980,2558540,2061651,259415,237474
"2014:Q4","Next40",24385642,30139326,9116129,2007593,2384988,10379398,1227498,5023720,5753684,4464876,1160098,128711
"2014:Q4","Bottom50",831606,5337336,2620435,1102843,144484,624350,120209,725016,4505730,2496825,1831824,177081
"2015:Q1","Top1",26577073,27258045,3333943,787571,10252112,1759466,4968041,6156912,680972,438790,64499,177683
"2015:Q1","Next9",32302892,34825920,6808086,966928,7083675,10471230,3046058,6449942,2523027,2039225,261702,222100
"2015:Q1","Next40",24647880,30446899,9277007,2025799,2425947,10456585,1263318,4998242,5799018,4532912,1136718,129388
"2015:Q1","Bottom50",909845,5340272,2603024,1104823,148293,627536,124273,732323,4430427,2415197,1833369,181860
"2015:Q2","Top1",26624665,27319384,3386464,795264,10304218,1766076,5076851,5990511,694719,445443,69476,179800
"2015:Q2","Next9",32640692,35177152,6970248,970223,7114677,10532455,3074735,6514815,2536461,2045792,261166,229503
"2015:Q2","Next40",24716722,30618436,9444649,2052485,2426961,10476791,1293237,4924313,5901714,4581993,1183985,135737
"2015:Q2","Bottom50",966814,5404028,2645400,1122105,147404,625954,128292,734874,4437214,2393317,1855778,188119
"2015:Q3","Top1",25866255,26592599,3439497,767077,9343195,1714467,5094130,6234233,726343,453738,82651,189955
"2015:Q3","Next9",32529886,35006718,7085941,1008009,6643512,10422917,3133268,6713070,2476831,2068387,247548,160896
"2015:Q3","Next40",24685691,30614120,9657316,2078394,2293717,10347172,1369989,4867533,5928430,4562352,1242455,123623
"2015:Q3","Bottom50",926212,5427226,2694803,1119153,131324,614648,139133,728165,4501014,2427872,1881409,191732
"2015:Q4","Top1",26729187,27459441,3507828,789095,9786204,1756260,5259923,6360131,730254,461306,77483,191464
"2015:Q4","Next9",32611241,35124856,7177071,989643,6868672,10593465,3119083,6376923,2513615,2093002,261634,158978
"2015:Q4","Next40",25290658,31170602,9849889,2096984,2343937,10456554,1345925,5077313,5879944,4564801,1182892,132252
"2015:Q4","Bottom50",920733,5453224,2682356,1130246,136020,620009,135778,748816,4532491,2460316,1868620,203555
"2016:Q1","Top1",27023192,27773609,3559560,800690,9987389,1785781,5252342,6387848,750417,469438,82150,198828
"2016:Q1","Next9",33298878,35768803,7293093,987869,6976870,10689235,3077610,6744127,2469925,2071797,263998,134130
"2016:Q1","Next40",25428191,31387050,9985280,2121651,2361149,10522215,1336299,5060456,5958859,4649443,1177503,131912
"2016:Q1","Bottom50",1002932,5469879,2670222,1147366,136982,622260,136447,756603,4466947,2386154,1875177,205616
"2016:Q2","Top1",27431288,28199254,3615664,818087,10318911,1819595,5369454,6257543,767966,477521,85952,204492
"2016:Q2","Next9",34028862,36492826,7512359,977667,7155966,10809935,3082201,6954698,2463964,2056009,267634,140321
"2016:Q2","Next40",25529880,31668597,10184634,2140420,2396727,10606436,1340667,4999713,6138718,4783963,1216824,137931
"2016:Q2","Bottom50",1116527,5527393,2710482,1159421,140009,623825,136952,756704,4410866,2315833,1894692,200341
"2016:Q3","Top1",28168427,28958619,3644336,823400,10679621,1867743,5557981,6385539,790192,487790,91391,211011
"2016:Q3","Next9",34526179,37040889,7645877,975769,7356707,10975196,3105341,6982000,2514711,2084969,273309,156433
"2016:Q3","Next40",25980117,32144085,10440874,2160626,2435326,10727307,1344487,5035464,6163967,4750936,1263389,149642
"2016:Q3","Bottom50",1125130,5623297,2797279,1162966,143340,626265,136480,756967,4498167,2386829,1921741,189597
"2016:Q4","Top1",28602344,29387784,3750269,835267,10843949,1860089,5607621,6490589,785440,487057,90977,207406
"2016:Q4","Next9",34354432,36891414,7711978,972298,7421312,11047138,3141390,6597298,2536983,2120758,279088,137136
"2016:Q4","Next40",26446823,32589516,10674058,2170097,2470910,10763491,1343473,5167487,6142693,4704177,1300662,137854
"2016:Q4","Bottom50",1068741,5669983,2810642,1177676,146656,631050,136278,767680,4601242,2451669,1950032,199540
"2017:Q1","Top1",29565820,30343926,3858246,865952,11599368,1918848,5698988,6402524,778106,484590,87403,206113
"2017:Q1","Next9",35210007,37797900,7805352,954499,7784351,11244120,3170652,6838927,2587893,2157643,290095,140156
"2017:Q1","Next40",27077107,33153077,10901834,2186293,2581349,10943241,1324236,5216124,6075970,4665622,1277240,133108
"2017:Q1","Bottom50",1065559,5738003,2806325,1212159,158418,646233,133518,781350,4672444,2509933,1960432,202079
"2017:Q2","Top1",30118613,30893795,3855381,874176,12024224,1960928,5863545,6315541,775182,484817,86838,203527
"2017:Q2","Next9",35731075,38370510,7972008,951627,7986856,11383754,3263954,6812310,2639434,2189205,295287,154942
"2017:Q2","Next40",27447604,33539229,11040080,2190198,2646023,11075652,1345473,5241804,6091625,4647923,1305446,138256
"2017:Q2","Bottom50",1198319,5964258,3007914,1216200,165146,657417,134863,782718,4765939,2569932,1983839,212168
"2017:Q3","Top1",30870194,31646773,3910806,889727,12506756,2004872,6010273,6324338,776579,484762,87327,204490
"2017:Q3","Next9",36285317,38971107,8102717,942936,8222032,11552435,3323782,6827204,2685789,2231442,302975,151373
"2017:Q3","Next40",27981981,34051051,11262854,2197914,2718867,11225014,1344898,5301504,6069070,4603646,1330397,135028
"2017:Q3","Bottom50",1218921,6096480,3108787,1228646,172936,667583,133525,785004,4877559,2655726,2010823,211011
"2017:Q4","Top1",32150012,32919263,3989103,917001,13306855,2050183,6249325,6406796,769250,484510,84497,200243
"2017:Q4","Next9",36876095,39660159,8181722,923998,8614091,11754585,3396455,6789308,2784064,2278340,315401,190323
"2017:Q4","Next40",28701842,34752786,11495332,2209687,2830018,11383678,1333631,5500439,6050944,4535562,1370953,144429
"2017:Q4","Bottom50",1177435,6187489,3139517,1251938,185266,677934,129760,803074,5010054,2754021,2042195,213837
"2018:Q1","Top1",32107205,32876402,3968101,918550,13247187,2053010,6240926,6448629,769196,481452,85599,202146
"2018:Q1","Next9",37400353,40231297,8289500,937608,8589199,11785981,3445381,7183628,2830944,2321666,313197,196081
"2018:Q1","Next40",28898139,34847125,11539981,2228719,2829340,11414806,1357996,5476283,5948986,4454899,1348545,145541
"2018:Q1","Bottom50",1270850,6365739,3282338,1274956,184552,680624,133770,809499,5094888,2830265,2047568,217056
"2018:Q2","Top1",32559759,33327770,3971870,936507,13452641,2080290,6431603,6454859,768011,481514,84026,202471
"2018:Q2","Next9",37922433,40793861,8459081,930943,8694911,11923796,3533594,7251536,2871428,2359321,319763,192344
"2018:Q2","Next40",29261676,35202762,11695315,2243497,2860093,11516904,1369137,5517817,5941086,4424483,1368300,148303
"2018:Q2","Bottom50",1374978,6569924,3457187,1298579,187492,687198,133699,805769,5194947,2902355,2067610,224982
"2018:Q3","Top1",33405600,34173716,4013310,976092,14130660,2107528,6533503,6412623,768116,481897,82264,203955
"2018:Q3","Next9",38631565,41559912,8585852,901218,9032483,12133297,3511800,7395261,2928347,2399049,335047,194250
"2018:Q3","Next40",29692008,35647279,11877828,2257623,2952525,11647629,1309268,5602406,5955270,4399800,1407641,147830
"2018:Q3","Bottom50",1392397,6695867,3546935,1331052,197782,693189,125777,801131,5303470,2978601,2102182,222687
"2018:Q4","Top1",31324093,32112682,4092716,906869,11937773,2011363,6320698,6843264,788589,483498,99191,205900
"2018:Q4","Next9",37595119,40495494,8637488,992753,7975807,11775575,3660518,7453353,2900375,2432813,300936,166626
"2018:Q4","Next40",29506060,35479234,12102555,2286360,2676172,11378831,1465669,5569648,5973174,4350794,1473860,148520
"2018:Q4","Bottom50",1268182,6685505,3549170,1333305,164585,680221,149116,809108,5417324,3053044,2124266,240014
"2019:Q1","Top1",33831250,34612790,4232782,981940,13787944,2117383,6626962,6865779,781540,482223,88654,210662
"2019:Q1","Next9",39208727,42129167,8825596,927835,8887592,12190793,3659636,7637715,2920440,2435584,329020,155836
"2019:Q1","Next40",30527479,36511960,12411647,2298967,2917872,11707602,1379166,5796705,5984480,4406169,1436662,141649
"2019:Q1","Bottom50",1359022,6749503,3514718,1382938,192270,698416,135169,825993,5390481,3026618,2134306,229557
"2019:Q2","Top1",34543351,35320642,4204296,1009439,14168157,2158139,6848450,6932162,777291,482870,86678,207743
"2019:Q2","Next9",39817859,42791788,8981636,912386,9085515,12376432,3730156,7705662,2973929,2463848,337908,172173
"2019:Q2","Next40",30851806,36880862,12468559,2314774,2973785,11859254,1378533,5885957,6029056,4418584,1460427,150045
"2019:Q2","Bottom50",1497910,6963644,3690772,1412646,198252,705249,132668,824057,5465735,3071361,2155885,238489
"2019:Q3","Top1",34850867,35637256,4179771,1015540,14225676,2166842,6985861,7063566,786389,485779,90574,210036
"2019:Q3","Next9",40153634,43182261,9037310,921112,9130444,12468415,3788902,7836079,3028628,2514093,340280,174254
"2019:Q3","Next40",31142644,37137340,12555205,2339127,2993510,11937252,1394703,5917542,5994696,4344946,1500740,149010
"2019:Q3","Bottom50",1528708,7139900,3839854,1441405,199973,706096,132832,819740,5611193,3189745,2185783,235664
"2019:Q4","Top1",36227829,37006500,4207869,1058864,15289320,2219614,7159767,7071065,778671,487569,83779,207323
"2019:Q4","Next9",41178440,44272410,9114416,882637,9661901,12773232,3744868,8095356,3093970,2545030,360804,188137
"2019:Q4","Next40",31778416,37774328,12696243,2347159,3141228,12164761,1317712,6107224,5995912,4314313,1524617,156983
"2019:Q4","Bottom50",1564406,7273433,3911407,1463838,217047,712977,120800,847364,5709027,3253187,2211691,244149
"2020:Q1","Top1",32547937,33328561,4268806,1061038,11328218,1974713,7221299,7474486,780624,490002,84185,206437
"2020:Q1","Next9",39160701,42288033,9205550,892003,7754546,12362577,3793172,8280185,3127332,2564442,361306,201584
"2020:Q1","Next40",31088628,37058593,12892999,2362629,2644475,11629857,1335189,6193443,5969965,4314377,1490804,164784
"2020:Q1","Bottom50",1497869,7253498,3948263,1479096,157703,679291,122745,866401,5755629,3290269,2210068,255292
