percentile,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967
10th percentile limit,14629,14566,14239,14053,13034,13171,13407,13427,13690,14219,14218,14765,14982,14550,14533,14420,14865,15193,15473,15642,14977,14421,14245,14241,13494,13189,13195,13382,13678,14117,13433,13225,13121,13161,13151,12640,12689,12920,13093,13281,13527,13255,13094,13022,13387,13298,12698,11909,11725,11999,11697,10745
20th percentile limit,25600,25239,25116,24166,22755,22674,22570,22671,23084,23996,24215,24634,25013,24719,24635,24613,25077,25549,26203,25907,24884,24100,23611,23636,22568,22251,22167,22702,23358,23717,23293,22900,22475,22186,21929,21517,21060,21332,21757,22647,22379,21704,21749,21277,22381,22274,21800,21068,21343,21708,21078,19775
30th percentile limit,37002,35868,36324,34188,32611,32888,32652,32752,32813,34208,34673,35936,36104,34956,34648,34807,35186,35874,36777,36829,35998,34429,33575,33057,32151,31913,31755,32602,33635,33951,33153,32941,42082,40569,39953,38771,38685,39306,40762,42059,42322,40879,40364,39367,41327,41792,31759,30493,31170,31576,31081,29544
40th percentile limit,50000,48258,47716,46117,43728,44306,43570,43100,43859,45228,45597,47469,47160,46402,46208,46533,46718,47365,48254,48258,46951,45697,44382,44176,42359,42349,42469,43273,44215,45098,43999,43468,42990,41743,41043,40010,40054,39878,40803,42059,42314,40879,40521,39933,41516,42831,41986,40162,40886,41656,39961,38562
50th (median),63179,62868,61779,59901,56969,57856,55900,56006,56873,58400,58811,60985,60178,59712,59080,59286,59360,60038,61399,61526,60040,57911,56744,55931,54233,53610,53897,54318,55952,56678,55716,55260,54608,52709,51742,50216,50571,50709,51528,53257,53359,51371,51048,50214,51565,53251,52197,50053,50545,50940,49114,47085
60th percentile limit,79542,79442,78343,76314,72423,72556,70763,69858,70982,72506,73335,75271,74909,74321,73600,74525,74411,75353,76291,76173,74635,71988,70356,68941,67404,66569,66677,66838,67644,69313,68570,67853,66720,64665,63233,61407,61199,61678,62555,64710,64024,62310,61727,60343,61346,63373,62053,59101,59469,60243,57278,54732
70th percentile limit,100162,100202,98519,96117,91866,91818,88328,88394,90026,91056,92257,94734,93800,92804,92350,93408,93122,93886,95045,94606,92492,89092,87102,85130,84079,82801,82044,81875,83311,84823,83329,82802,91682,88663,87261,84236,82986,83504,84492,86707,85741,83290,81284,79364,80997,82825,73820,69891,70164,70438,67236,65727
80th percentile limit,130000,129947,126634,124011,119192,119018,114058,113661,115452,117322,117195,121405,121143,118203,117273,118888,117597,118717,119561,119787,115804,111895,108742,106892,105630,103475,102050,102338,103157,105313,103538,102550,100855,97255,95520,92801,91259,91187,91592,93825,93116,90841,88808,86641,89033,91244,88817,84272,84846,84404,80481,78047
90th percentile limit,184292,183442,178450,171895,167200,167815,159973,160688,160174,161473,161693,165111,166048,162524,161068,161770,159722,161552,163771,162945,156412,152837,147169,143946,142681,140268,136432,136819,138465,141085,137115,135291,132369,127562,125644,121459,120349,119115,119008,121452,120433,115861,113877,111068,114804,117779,114116,108112,108075,107096,101489,99141
95th percentile limit,248728,242812,235704,227309,219319,221478,209450,208117,208313,211181,210446,214887,217251,213966,209423,210931,209957,213974,212346,214684,204122,198046,191119,185474,184599,179561,174204,173811,177048,179900,175261,171601,169121,160695,158123,152681,150643,146750,147399,151608,148965,143832,140838,136724,140920,146654,142941,133827,134118,132375,125910,125244